deployment_frequency_per_week,vulnerabilities_found,mean_time_to_recover_hrs
8.144802116191842,0,2.0315580902731507
7.781669501566958,4,3.3133561224227424
6.621676906431586,1,3.5870018430875277
7.9107630645919205,3,2.192337487168006
6.0726097425549135,4,2.214459253060093
6.7158176719119895,1,2.6831361391807267
6.417563742605076,1,2.5085025563512575
7.098248967263587,0,3.1516538587818554
9.77759028000821,0,2.133768334489023
4.7592817688899025,0,3.1644000914466988
7.823512228449416,3,2.3325426414911714
5.064740954572418,2,3.097782297747499
6.4336817610526795,2,2.3102716763980204
8.306740716360839,1,2.0708337219641355
7.077136022914555,2,3.8386223478879793
5.706706266484833,2,3.2456589577828425
6.141635548888038,0,1.2455684299053496
7.815517298721611,1,2.1872585417470645
6.123560041939436,3,3.3434460452450017
7.25975030749837,4,1.6623376715505347
7.0546862078845765,3,3.039474830666178
6.2180795828730195,0,2.9669392724288537
9.57273290719039,0,2.010597395335658
7.760702826781613,0,2.4938280676279345
4.569828896010872,1,1.0369875759588043
7.2237451777233135,2,3.739302061596703
6.205856242277934,2,2.2836352435621547
8.02292000175547,5,3.0626691359633806
6.0489751138807595,1,2.929688939032797
6.862316270239721,3,3.450516551669992
