deployment_frequency_per_week,vulnerabilities_found,mean_time_to_recover_hrs
8.74507122951685,4,3.929107501938888
7.792603548243223,7,5.482472415243185
8.97153280715104,7,4.776537214674149
10.284544784612038,6,5.714000494092092
7.648769937914996,5,5.473237624573545
7.648794564576229,3,4.927171087343127
10.368819223261088,3,4.153206281931595
9.151152093729364,5,3.4851527753141354
7.295788421097572,10,4.553485047932979
8.813840065378947,2,5.856398794323472
7.304873460781307,5,5.214093744130204
7.301405369644614,4,3.754261221288012
8.362943407349052,11,5.173180925851182
5.130079633013303,5,5.3853173797288365
5.412623251230451,4,4.116142563798867
7.1565687061385415,9,5.153725105945528
6.480753319498364,4,5.058208718446
8.47137099889291,6,3.8570297021693767
6.637963886718183,8,5.357787360348283
5.881544447997063,3,5.560784526368234
10.19847315338233,4,6.083051243175277
7.661335549270197,6,6.053802052034903
8.101292307031885,8,3.622330632042909
5.862877720679815,10,4.062174960084877
7.183425913212226,4,5.51503526720866
8.1663838845648,2,5.513785950912209
6.273509633866546,6,5.515047686306048
8.563547027518508,7,8.85273149065472
7.099041965121793,9,5.570890510693167
7.562459375310085,3,6.135565640180599
